Country,Year,Wine,Surface,Continent
Italy,2018,54.8,705000,Europe
France,2018,48.6,793000,Europe
Spain,2018,44.4,969000,Europe
USA,2018,23.9,439000,North America
Argentina,2018,14.5,218000,South America
Australia,2018,12.9,146000,Australia
Chile,2018,12.9,212000,South America
Germany,2018,10.3,103000,Europe
South Africa,2018,9.5,126000,Africa
China,2018,9.1,875000,Asia
Portugal,2018,6.1,192000,Europe
Russia,2018,5.5,63000,Asia
Romania,2018,5,191000,Europe
Hungary,2018,4,68000,Europe
Brazil,2018,3.1,85000,South America
New Zeeland,2018,3,39000,Australia
Austria,2018,3,46000,Europe
Moldavia,2018,2,147000,Europe